pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23637933|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000760512|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23637933|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000760512|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23638088|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|11-FEB-26|024418502100010908|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638088|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|11-FEB-26|024418502100010908|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23628982|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612710|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628982|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612710|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23637968|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000761109|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23637968|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000761109|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23638091|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011504|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638091|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011504|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23635785|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|050319000000780503|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23635785|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|04-FEB-26|050319000000780503|U|||MET||CON|SI||C03U|C03U|1|141043|32429.8|
23628936|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612207|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628936|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612207|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23628949|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612105|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628949|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612105|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23628950|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612306|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628950|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612306|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23628953|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612506|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23628953|SUR-ENE|MET|360|Itaguí|CW352017|5|ALEGA|02-FEB-26|073625006000612506|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23637861|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000761111|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23637861|SUR-ENE|MET|631|Sabaneta|CW352017||ALEGA|13-FEB-26|015328005000761111|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
